ID,Filename,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended,Glottocode
anal1239_T001,doreco_anal1239_anm_20151216_10_Ngahring_WB_proverbs1,Ngahring,80,certain,m,2015-12-02,certain,traditional narrative,na,none,English,good,punctual,1340,no,anal1239
anal1239_T002,doreco_anal1239_anm_20151216_10_Ngahring_WB_riddles,Ngahring,80,certain,m,2015-12-02,certain,traditional narrative,na,none,English,good,none,335,no,anal1239
anal1239_T003,doreco_anal1239_anm_20152111_Ngahring_PO_55,Ngahring,80,certain,m,2015-12-02,certain,traditional narrative,na,none,English,medium,punctual,785,no,anal1239
anal1239_T004,doreco_anal1239_anm_20152111_Ngahring_PO_56,Ngahring,80,certain,m,2015-12-02,certain,traditional narrative,na,none,English,medium,punctual,810,no,anal1239
anal1239_T005,doreco_anal1239_anm_20152111_Ngahring_PO_61,Ngahring,80,certain,m,2015-12-03,certain,traditional narrative,na,none,English,good,none,365,no,anal1239
anal1239_T006,doreco_anal1239_anm_20152111_Ngahring_WB_dead_woman_and_her_children,Ngahring,80,certain,m,2015-12-03,certain,traditional narrative,na,none,English,good,none,403,no,anal1239
anal1239_T007,doreco_anal1239_anm_20152111_Ngahring_WB_frog_and_jackal,Ngahring,80,certain,m,2015-12-03,certain,traditional narrative,na,none,English,good,none,161,no,anal1239
anal1239_T008,doreco_anal1239_anm_20152111_Ngahring_folkfore_60,Ngahring,80,certain,m,2015-12-03,certain,traditional narrative,na,none,English,good,none,614,no,anal1239
anal1239_T009,doreco_anal1239_anm_20160220_Mohtung_PO_3,Mohtung,100,certain,m,2016-02-20,certain,personal narrative,na,none,English,medium,none,261,no,anal1239
anal1239_T010,doreco_anal1239_anm_20160220_Mohtung_PO_8,Mohtung,100,certain,m,2016-02-20,certain,personal narrative,na,none,English,medium,none,121,no,anal1239
